+---------------------------------------+-------------------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+---------------------------------------+-------------------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| Mod name                              | Registry name                                                                 | BlockID | Subtypes | Item ID | Item meta | Display name                                                    | Exists | Ore Dict keys                                              |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         6 | Pink Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         7 | Gray Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         8 | Light Gray Lamp                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |         9 | Cyan Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |        10 | Purple Lamp                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |        11 | Blue Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |        12 | Brown Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |        13 | Green Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |        14 | Red Lamp                                                        | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp                                          |    4197 |     true |    9939 |        15 | Black Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         0 | White Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         1 | Orange Lamp                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         2 | Magenta Lamp                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         3 | Light Blue Lamp                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         4 | Yellow Lamp                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         5 | Lime Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         6 | Pink Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         7 | Gray Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         8 | Light Gray Lamp                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |         9 | Cyan Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |        10 | Purple Lamp                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |        11 | Blue Lamp                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |        12 | Brown Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |        13 | Green Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |        14 | Red Lamp                                                        | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_colored_lamp_on                                       |    4198 |     true |    9940 |        15 | Black Lamp                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_compost                                               |    4218 |    false |    9960 |         0 | Compost                                                         | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal                                               |    4175 |     true |    9917 |         0 | Restonia Crystal Block                                          | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal                                               |    4175 |     true |    9917 |         1 | Palis Crystal Block                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal                                               |    4175 |     true |    9917 |         2 | Diamatine Crystal Block                                         | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal                                               |    4175 |     true |    9917 |         3 | Void Crystal Block                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal                                               |    4175 |     true |    9917 |         4 | Emeradic Crystal Block                                          | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal                                               |    4175 |     true |    9917 |         5 | Enori Crystal Block                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_cluster_coal                                  |    4159 |    false |    9901 |         0 | Black Crystal Cluster                                           | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_cluster_diamond                               |    4158 |    false |    9900 |         0 | Light Blue Crystal Cluster                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_cluster_emerald                               |    4160 |    false |    9902 |         0 | Green Crystal Cluster                                           | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_cluster_iron                                  |    4161 |    false |    9903 |         0 | White Crystal Cluster                                           | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_cluster_lapis                                 |    4157 |    false |    9899 |         0 | Blue Crystal Cluster                                            | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_cluster_redstone                              |    4156 |    false |    9898 |         0 | Red Crystal Cluster                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_empowered                                     |    4176 |     true |    9918 |         0 | Empowered Restonia Crystal Block                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_empowered                                     |    4176 |     true |    9918 |         1 | Empowered Palis Crystal Block                                   | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_empowered                                     |    4176 |     true |    9918 |         2 | Empowered Diamatine Crystal Block                               | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_empowered                                     |    4176 |     true |    9918 |         3 | Empowered Void Crystal Block                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_empowered                                     |    4176 |     true |    9918 |         4 | Empowered Emeradic Crystal Block                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_empowered                                     |    4176 |     true |    9918 |         5 | Empowered Enori Crystal Block                                   | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_crystal_oil                                           |    4154 |    false |    9896 |         0 | Crystallized Oil                                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_directional_breaker                                   |    4185 |    false |    9927 |         0 | Long-Range Breaker                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_display_stand                                         |    4169 |    false |    9911 |         0 | Display Stand                                                   | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_dropper                                               |    4236 |    false |    9978 |         0 | Automatic Precision Dropper                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_empowered_oil                                         |    4155 |    false |    9897 |         0 | Empowered Oil                                                   | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_empowerer                                             |    4166 |    false |    9908 |         0 | Empowerer                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_energizer                                             |    4201 |    false |    9943 |         0 | Energizer                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_enervator                                             |    4202 |    false |    9944 |         0 | Enervator                                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_farmer                                                |    4164 |    false |    9906 |         0 | Farmer                                                          | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_feeder                                                |    4220 |    false |    9962 |         0 | Automatic Feeder                                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_fermenting_barrel                                     |    4213 |    false |    9955 |         0 | Fermenting Barrel                                               | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_firework_box                                          |    4172 |    false |    9914 |         0 | Firework Box                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_fishing_net                                           |    4229 |    false |    9971 |         0 | Fishing Net                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_flax                                                  |    4216 |    false |    9958 |         0 | Flax Plant                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_fluid_collector                                       |    4238 |    false |    9980 |         0 | Fluid Collector                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_fluid_placer                                          |    4237 |    false |    9979 |         0 | Fluid Placer                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_furnace_double                                        |    4226 |    false |    9968 |         0 | Powered Furnace                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_furnace_solar                                         |    4230 |    false |    9972 |         0 | Solar Panel                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_giant_chest                                           |    4221 |    false |    9963 |         0 | Small Storage Crate                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_giant_chest_large                                     |    4223 |    false |    9965 |         0 | Large Storage Crate                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_giant_chest_medium                                    |    4222 |    false |    9964 |         0 | Medium Storage Crate                                            | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_greenhouse_glass                                      |    4233 |    false |    9975 |         0 | Greenhouse Glass                                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_grinder                                               |    4224 |    false |    9966 |         0 | Crusher                                                         | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_grinder_double                                        |    4225 |    false |    9967 |         0 | Double Crusher                                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_heat_collector                                        |    4231 |    false |    9973 |         0 | Heat Collector                                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_inputter                                              |    4227 |    false |    9969 |         0 | ESD                                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_inputter_advanced                                     |    4228 |    false |    9970 |         0 | Advanced ESD                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_item_repairer                                         |    4232 |    false |    9974 |         0 | Item Repairer                                                   | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_item_viewer                                           |    4171 |    false |    9913 |         0 | Item Interface                                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_item_viewer_hopping                                   |    4163 |    false |    9905 |         0 | Hopping Item Interface                                          | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_lamp_powerer                                          |    4199 |    false |    9941 |         0 | Lamp Controller                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_laser_relay                                           |    4178 |    false |    9920 |         0 | Energy Laser Relay                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_laser_relay_advanced                                  |    4179 |    false |    9921 |         0 | Advanced Energy Laser Relay                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_laser_relay_extreme                                   |    4180 |    false |    9922 |         0 | Extreme Energy Laser Relay                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_laser_relay_fluids                                    |    4181 |    false |    9923 |         0 | Fluid Laser Relay                                               | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_laser_relay_item                                      |    4182 |    false |    9924 |         0 | Item Laser Relay                                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_laser_relay_item_whitelist                            |    4183 |    false |    9925 |         0 | Advanced Item Laser Relay                                       | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_lava_factory_controller                               |    4203 |    false |    9945 |         0 | Lava Factory Controller                                         | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_leaf_generator                                        |    4186 |    false |    9928 |         0 | Leaf-Eating Generator                                           | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_miner                                                 |    4173 |    false |    9915 |         0 | Vertical Digger                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         0 | Pillar of Black Quartz                                          | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         1 | Chiseled Block of Black Quartz                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         2 | Block of Black Quartz                                           | true   | blockQuartzBlack                                           |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         3 | Black Quartz Ore                                                | true   | oreQuartzBlack                                             |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         4 | Wood Casing                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         5 | Block of Charcoal                                               | true   | blockCharcoal                                              |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         6 | Block of Enderpearl                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         7 | Casing                                                          | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         8 | Ender Casing                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_misc                                                  |    4219 |     true |    9961 |         9 | Iron Casing                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_oil_generator                                         |    4212 |    false |    9954 |         0 | Oil Generator                                                   | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantom_booster                                       |    4240 |    false |    9982 |         0 | Phantom Booster                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantom_breaker                                       |    4210 |    false |    9952 |         0 | Phantom Breaker                                                 | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantom_energyface                                    |    4208 |    false |    9950 |         0 | Phantom Energyface                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantom_liquiface                                     |    4207 |    false |    9949 |         0 | Phantom Liquiface                                               | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantom_placer                                        |    4206 |    false |    9948 |         0 | Phantom Placer                                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantom_redstoneface                                  |    4209 |    false |    9951 |         0 | Phantom Redstoneface                                            | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_phantomface                                           |    4205 |    false |    9947 |         0 | Phantomface                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_pillar_quartz_slab                                    |    4250 |    false |    9992 |         0 | Black Quartz Pillar Slab                                        | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_pillar_quartz_stair                                   |    4247 |    false |    9989 |         0 | Black Quartz Pillar Stairs                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_pillar_quartz_wall                                    |    4244 |    false |    9986 |         0 | Black Quartz Pillar Wall                                        | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_placer                                                |    4235 |    false |    9977 |         0 | Auto-Placer                                                     | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_player_interface                                      |    4170 |    false |    9912 |         0 | Player Interface                                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_quartz_slab                                           |    4248 |    false |    9990 |         0 | Black Quartz Slab                                               | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_quartz_stair                                          |    4245 |    false |    9987 |         0 | Black Quartz Stairs                                             | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_quartz_wall                                           |    4242 |    false |    9984 |         0 | Black Quartz Wall                                               | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_ranged_collector                                      |    4184 |    false |    9926 |         0 | Ranged Collector                                                | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_refined_canola_oil                                    |    4153 |    false |    9895 |         0 | Refined Canola Oil                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_rice                                                  |    4214 |    false |    9956 |         0 | Rice Plant                                                      | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_shock_suppressor                                      |    4168 |    false |    9910 |         0 | Shock Absorber                                                  | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_smiley_cloud                                          |    4187 |    false |    9929 |         0 | Smiley Cloud                                                    | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_testifi_bucks_green_fence                             |    4195 |    false |    9937 |         0 | Ethetic Green Wall                                              | true   |                                                            |
| Actually Additions                    | actuallyadditions:block_testifi_bucks_green_slab                              |    4193 |    false |    9935 |         0 | Ethetic Green Slab                                              | true   |                                                            |
